StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1.1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q2.1,Q3.1,Q3_5_TEXT,Q4.1,Q4_6_TEXT,Q5.1,Q6.1,Q7.1,Q8.1,Q9.1,Q9_1_TEXT,F1_annoyance,F2_quality,F3_noise_sensitivity,F4_unpredictable,F5_openness,F6_warm,F7_detail,SPHHQ_Total
2025-05-27 01:26:03,2025-05-27 02:04:13,IP Address,62.194.3.155,100,2289,True,2025-05-27 02:04:13,R_8aCXHtLH9NiIRoz,,,,,52.2271,5.1775,anonymous,EN,1,3,4,3,4,2,3,3,4,2,2,2,3,3,1,2,4,2,3,2,5,4,3,1,31,Female,,Master,,2,1,3,Never,No,,3.25,2.0,2.6666666666666665,2.3333333333333335,2.3333333333333335,4.5,2.0,2.7261904761904767
2025-05-27 02:16:48,2025-05-27 02:38:00,IP Address,62.194.3.155,100,1272,True,2025-05-27 02:38:01,R_8ta1jBLTgfmxxBv,,,,,52.2271,5.1775,anonymous,EN,2,2,2,2,2,3,1,2,4,4,3,4,2,4,1,3,4,2,3,4,4,4,2,3,22,Female,,High School,,1,2,4,Never,No,,2.25,3.5,3.3333333333333335,2.6666666666666665,3.0,4.0,2.5,3.0357142857142856
2025-05-27 09:03:36,2025-05-27 09:23:17,IP Address,77.249.113.209,100,1180,True,2025-05-27 09:23:18,R_2q58L4rGINXiykX,,,,,52.3528,4.8584,anonymous,EN,3,3,4,4,3,4,3,2,3,4,4,3,4,4,1,2,2,2,3,4,2,4,3,1,22,Female,,High School,,1,2,4,Less than once a month,No,,3.25,4.0,3.6666666666666665,1.6666666666666667,3.0,3.0,2.0,2.9404761904761902
2025-05-27 09:23:52,2025-05-27 10:19:33,IP Address,77.249.113.209,100,3340,True,2025-05-27 10:19:33,R_2FA34l2IVlFaQfv,,,,,52.3528,4.8584,anonymous,EN,4,4,5,4,4,5,5,3,1,4,3,3,4,4,2,3,2,5,3,5,2,3,5,3,59,Female,,Master,,5,2,1,Never,No,,3.875,3.5,3.6666666666666665,2.3333333333333335,4.333333333333333,2.5,4.0,3.458333333333333
2025-05-27 10:21:38,2025-05-27 10:49:13,IP Address,77.249.113.209,100,1654,True,2025-05-27 10:49:14,R_2uxPREvfJhuXPzN,,,,,52.3528,4.8584,anonymous,EN,5,3,5,4,5,4,3,2,1,2,4,5,2,5,2,5,3,4,3,3,4,4,5,3,56,Male,,Master,,1,1,2,Never,No,,3.375,3.0,4.0,3.3333333333333335,3.3333333333333335,4.0,4.0,3.5773809523809526
2025-05-27 11:14:41,2025-05-27 13:43:09,IP Address,77.249.113.209,100,8907,True,2025-05-27 13:43:10,R_2NKUc535ueYgArp,,,,,52.3528,4.8584,anonymous,EN,7,4,4,5,3,2,3,3,1,5,3,4,4,3,2,2,4,2,3,3,3,4,5,3,56,Female,,Master,,4,4,3,Never,No,,3.125,4.0,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.5,4.0,3.375
2025-05-27 13:51:03,2025-05-27 14:09:16,IP Address,77.174.178.117,100,1093,True,2025-05-27 14:09:17,R_8J8Itxy1AdquyL0,,,,,52.3528,4.8584,anonymous,EN,8,4,4,5,2,5,4,2,2,3,2,2,2,2,2,2,4,5,4,5,4,4,3,4,24,Male,,High School,,2,2,5,Less than once a month,No,,3.5,2.5,2.0,2.6666666666666665,4.666666666666667,4.0,3.5,3.261904761904762
2025-05-27 14:20:07,2025-05-27 14:51:12,IP Address,77.174.178.117,100,1864,True,2025-05-27 14:51:13,R_8R7mqsBKqxBq9R3,,,,,52.3564,4.8802,anonymous,EN,9,2,3,5,1,1,4,3,3,4,4,3,1,4,2,2,4,3,4,4,4,4,2,1,19,Male,,High School,,4,4,3,Daily,Yes,piano tiles,2.75,4.0,2.6666666666666665,2.6666666666666665,3.6666666666666665,4.0,1.5,3.0357142857142856
2025-05-28 04:23:48,2025-05-28 05:04:48,IP Address,62.194.3.155,100,2460,True,2025-05-28 05:04:48,R_2JZSajDDKA25Vhn,,,,,52.2271,5.1775,anonymous,EN,10,2,2,4,2,1,4,2,3,3,3,4,2,3,1,2,1,3,5,4,5,4,5,4,41,Male,,Bachelor,,4,4,3,Never,No,,2.5,3.0,3.0,1.3333333333333333,4.0,4.5,4.5,3.2619047619047623
2025-05-28 06:35:11,2025-05-28 07:10:02,IP Address,89.205.163.43,100,2091,True,2025-05-28 07:10:03,R_2R3Nuq7RkiAhluz,,,,,51.9168,4.4553,anonymous,EN,11,2,2,4,3,2,4,2,2,4,4,3,4,4,2,2,2,3,4,3,4,2,4,3,72,Male,,Bachelor,,4,3,3,Daily,No,,2.625,4.0,3.6666666666666665,2.0,3.3333333333333335,3.0,3.5,3.1607142857142856
2025-05-28 08:25:17,2025-05-28 08:57:43,IP Address,62.194.3.155,100,1945,True,2025-05-28 08:57:44,R_8A3B7FNuzYxcypb,,,,,52.2271,5.1775,anonymous,EN,12,2,4,3,5,3,2,2,2,3,4,3,3,3,2,2,3,2,3,4,4,3,3,3,27,Female,,MBO,,3,3,4,Never,No,,2.875,3.5,3.0,2.3333333333333335,3.0,3.5,3.0,3.029761904761905
2025-05-28 09:00:21,2025-05-28 09:21:29,IP Address,62.194.3.155,100,1268,True,2025-05-28 09:21:30,R_2aOVIGRfwuSE5rJ,,,,,52.2271,5.1775,anonymous,EN,13,1,1,4,4,3,3,2,1,2,2,2,2,4,2,1,2,4,3,5,2,3,4,4,30,Male,,HBO,,1,3,5,Daily,Yes,Buzz,2.375,2.0,2.6666666666666665,1.6666666666666667,4.0,2.5,4.0,2.744047619047619
2025-05-29 01:01:44,2025-05-29 01:31:10,IP Address,62.194.3.155,100,1766,True,2025-05-29 01:31:11,R_8Cmps0KIsxiSUql,,,,,52.2271,5.1775,anonymous,EN,14,1,3,2,3,4,4,4,1,4,3,5,5,4,4,4,5,3,4,3,5,5,4,4,52,Female,,Other (please specify),propedeuse,5,4,3,Never,No,,2.75,3.5,4.666666666666667,4.333333333333333,3.3333333333333335,5.0,4.0,3.9404761904761902
2025-05-29 11:34:58,2025-05-29 12:04:22,IP Address,62.194.3.155,100,1763,True,2025-05-29 12:04:23,R_2esvdnQhLfdFr0Z,,,,,52.2283,5.1971,anonymous,EN,15,1,2,5,5,5,4,4,3,5,5,5,5,5,3,2,3,5,5,5,3,4,4,4,25,Female,,Bachelor,,1,3,5,Less than once a month,No,,3.625,5.0,5.0,2.6666666666666665,5.0,3.5,4.0,4.113095238095238
2025-05-29 12:07:29,2025-05-29 12:29:28,IP Address,62.194.3.155,100,1319,True,2025-05-29 12:29:28,R_26RWGkUvyxX2OpX,,,,,52.2283,5.1971,anonymous,EN,16,1,2,2,3,2,1,2,1,4,4,1,2,3,4,3,2,1,4,5,4,3,5,3,26,Female,,Master,,3,4,4,At least once every month,Yes,"don't remember the name, but on the wii",1.75,4.0,2.0,3.0,3.3333333333333335,3.5,4.0,3.0833333333333335
2025-05-30 05:04:59,2025-05-30 05:25:56,IP Address,62.194.3.155,100,1256,True,2025-05-30 05:25:57,R_2k1jsrrMUu4WZB9,,,,,52.2283,5.1971,anonymous,EN,17,2,3,2,1,4,2,1,2,2,1,1,2,2,2,1,1,4,2,2,2,1,1,1,47,Male,,Bachelor,,1,1,3,Daily,No,,2.125,1.5,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.5,1.0,1.6845238095238095
2025-05-30 06:29:51,2025-05-30 06:52:16,IP Address,178.230.146.173,100,1345,True,2025-05-30 06:52:16,R_8UFG5jyY3cml2zn,,,,,51.9082,4.5019,anonymous,EN,19,3,2,3,2,4,2,2,2,3,4,2,2,2,3,3,4,4,4,4,5,3,4,4,56,Female,,Master,,2,3,2,At least once every month,No,,2.5,3.5,2.0,3.3333333333333335,4.0,4.0,4.0,3.3333333333333335
2025-05-31 04:21:48,2025-05-31 04:57:24,IP Address,62.194.3.155,100,2136,True,2025-05-31 04:57:25,R_2sSJEzi88WeT8L7,,,,,52.2283,5.1971,anonymous,EN,21,2,4,4,4,5,1,2,2,2,5,2,3,2,2,4,5,4,4,4,4,3,5,4,23,Male,,HBO,,1,2,5,Less than once a month,No,,3.0,3.5,2.3333333333333335,3.6666666666666665,4.0,3.5,4.5,3.5
2025-06-01 04:22:32,2025-06-01 04:45:47,IP Address,62.194.3.155,100,1395,True,2025-06-01 04:45:47,R_2njgMELu0G34WoQ,,,,,52.2283,5.1971,anonymous,EN,22,2,3,3,4,2,2,1,2,1,3,3,2,3,1,1,3,4,4,4,4,3,3,2,22,Male,,Bachelor,,5,4,3,At least once a week,Yes,A sort of gamified way to play piano,2.375,2.0,2.6666666666666665,1.6666666666666667,4.0,3.5,2.5,2.6726190476190474
2025-06-03 01:07:48,2025-06-03 01:30:25,IP Address,145.109.7.164,100,1357,True,2025-06-03 01:30:25,R_22RwdWCbT6iNJ40,,,,,52.352,4.9392,anonymous,EN,24,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,23,Female,,High School,,4,1,4,Less than once a month,No,,2.0,1.0,1.0,1.0,2.3333333333333335,1.0,1.0,1.3333333333333335
2025-06-03 01:31:45,2025-06-03 02:09:25,IP Address,145.109.7.164,100,2260,True,2025-06-03 02:09:26,R_8yNuZnaRZgqSlvb,,,,,52.352,4.9392,anonymous,EN,25,2,5,4,5,4,2,1,2,5,4,4,4,2,3,2,4,4,5,4,3,5,4,3,24,Male,,Bachelor,,5,5,4,At least once a week,Yes,"Crypt of the NecroDanser, Just Dance",3.125,4.5,3.3333333333333335,3.0,4.333333333333333,4.0,3.5,3.6845238095238098
2025-06-03 03:13:40,2025-06-03 03:31:11,IP Address,145.109.7.164,100,1050,True,2025-06-03 03:31:12,R_2APSI9qfrmMK8ut,,,,,52.352,4.9392,anonymous,EN,26,5,2,5,4,4,5,2,1,4,4,4,4,4,1,1,3,3,4,3,4,4,3,1,22,Female,,High School,,1,3,4,Never,No,,3.5,4.0,4.0,1.6666666666666667,3.3333333333333335,4.0,2.0,3.2142857142857144
2025-06-03 04:32:42,2025-06-03 05:17:37,IP Address,145.109.7.164,100,2694,True,2025-06-03 05:17:37,R_2pG2CNvfz8xusCa,,,,,52.352,4.9392,anonymous,EN,27,2,2,4,4,3,2,1,3,4,5,3,2,4,2,4,4,4,4,5,3,3,4,3,20,Male,,High School,,4,4,4,Daily,Yes,GUITAR HERO,2.625,4.5,3.0,3.3333333333333335,4.333333333333333,3.0,3.5,3.4702380952380953
2025-06-03 05:21:36,2025-06-03 05:43:49,IP Address,145.109.7.164,100,1332,True,2025-06-03 05:43:49,R_8I3OqWozuSbCp5M,,,,,52.352,4.9392,anonymous,EN,28,4,1,4,3,2,1,1,1,1,5,1,2,1,1,2,2,5,5,5,3,4,2,2,20,Female,,High School,,1,3,4,Less than once a month,No,,2.125,3.0,1.3333333333333333,1.6666666666666667,5.0,3.5,2.0,2.6607142857142856
2025-06-03 05:45:25,2025-06-03 06:08:38,IP Address,145.109.7.164,100,1392,True,2025-06-03 06:08:38,R_8aCPEpQa878hrql,,,,,52.352,4.9392,anonymous,EN,29,1,1,3,2,3,2,1,2,3,3,2,2,1,1,1,2,2,4,4,3,3,2,2,22,Male,,High School,,4,4,4,At least once a week,No,,1.875,3.0,1.6666666666666667,1.3333333333333333,3.3333333333333335,3.0,2.0,2.3154761904761907
2025-06-04 03:34:26,2025-06-04 03:55:42,IP Address,145.109.54.91,100,1276,True,2025-06-04 03:55:43,R_2DdLdqbNLo2x9JL,,,,,52.3179,4.9521,anonymous,EN,30,2,3,2,3,4,2,5,1,1,5,4,3,2,3,3,4,4,3,5,4,5,5,5,19,Male,,High School,,5,5,2,Less than once a month,No,,2.75,3.0,3.0,3.3333333333333335,4.0,4.5,5.0,3.654761904761905
2025-06-04 05:26:23,2025-06-04 06:01:20,IP Address,77.249.113.209,100,2097,True,2025-06-04 06:01:21,R_8GetbJwMY0kYThn,,,,,52.3528,4.8584,anonymous,EN,31,4,2,4,3,4,2,2,1,3,5,2,1,2,2,4,3,4,4,5,4,4,4,3,24,Male,,Master,,2,4,5,At least once every month,No,,2.75,4.0,1.6666666666666667,3.0,4.333333333333333,4.0,3.5,3.3214285714285716
2025-06-04 14:39:23,2025-06-04 15:08:08,IP Address,62.194.3.155,100,1724,True,2025-06-04 15:08:09,R_8Ta5Oo8dxNjEYJH,,,,,52.2283,5.1971,anonymous,EN,32,1,3,2,2,4,2,2,1,4,4,3,3,3,3,2,3,4,4,4,4,3,3,2,55,Male,,HBO,,1,4,5,Less than once a month,No,,2.125,4.0,3.0,2.6666666666666665,4.0,3.5,2.5,3.1130952380952377
2025-06-05 04:06:07,2025-06-05 04:33:15,IP Address,145.109.36.67,100,1627,True,2025-06-05 04:33:15,R_2Y55FZT477BXXbw,,,,,52.4414,4.8156,anonymous,EN,33,3,1,3,2,5,2,4,2,4,4,5,4,5,3,3,5,4,4,5,4,4,5,4,21,Male,,Bachelor,,4,3,3,At least once a week,Yes,"beat saber, just dance",2.75,4.0,4.666666666666667,3.6666666666666665,4.333333333333333,4.0,4.5,3.988095238095238
2025-06-05 04:48:56,2025-06-05 05:12:20,IP Address,145.109.36.67,100,1403,True,2025-06-05 05:12:20,R_8xx85KKN1A0RStJ,,,,,52.3759,4.8975,anonymous,EN,34,4,2,4,3,4,3,2,2,4,3,2,2,3,2,2,3,4,4,4,2,4,3,3,22,Male,,High School,,1,3,4,Less than once a month,No,,3.0,3.5,2.3333333333333335,2.3333333333333335,4.0,3.0,3.0,3.023809523809524
2025-06-05 05:28:22,2025-06-05 05:52:31,IP Address,145.109.36.67,100,1449,True,2025-06-05 05:52:32,R_2wNTFasZSeJMG67,,,,,52.3759,4.8975,anonymous,EN,35,1,2,4,5,4,4,5,4,4,3,2,2,2,2,3,3,4,4,5,3,4,4,3,24,Male,,Bachelor,,4,3,5,Daily,No,,3.625,3.5,2.0,2.6666666666666665,4.333333333333333,3.5,3.5,3.3035714285714284
2025-06-05 06:05:08,2025-06-05 06:27:27,IP Address,145.109.36.67,100,1338,True,2025-06-05 06:27:27,R_2VbgXmev0hCjViF,,,,,52.3759,4.8975,anonymous,EN,36,1,2,2,3,2,1,1,1,4,2,1,3,2,2,4,2,3,5,5,4,3,5,4,21,Male,,High School,,1,2,5,At least once a week,No,,1.625,3.0,2.0,2.6666666666666665,4.333333333333333,3.5,4.5,3.0892857142857144
2025-06-05 07:26:38,2025-06-05 07:55:18,IP Address,145.109.36.67,100,1719,True,2025-06-05 07:55:19,R_2elhYLScJyyCJpq,,,,,52.3759,4.8975,anonymous,EN,37,1,1,1,1,1,1,1,2,5,5,1,1,5,1,1,1,5,5,5,3,1,5,5,27,Female,,Master,,4,4,5,Daily,Yes,"dance revolution, billy bust up demo,  kingdom hearts, melody of memory, Rayman heeft aantal ritme levels",1.125,5.0,2.3333333333333335,1.0,5.0,2.0,5.0,3.0654761904761907
2025-06-05 10:31:47,2025-06-05 10:50:45,IP Address,77.249.113.209,100,1138,True,2025-06-05 10:50:46,R_2jYufJOu9Qos7Y2,,,,,52.3528,4.8584,anonymous,EN,38,1,1,1,1,3,1,1,1,5,4,2,4,4,1,4,4,4,4,4,4,4,4,2,22,Female,,Master,,4,3,4,Never,Yes,geometrics,1.25,4.5,3.3333333333333335,3.0,4.0,4.0,3.0,3.297619047619048
2025-06-05 10:53:42,2025-06-05 11:13:40,IP Address,77.249.113.209,100,1197,True,2025-06-05 11:13:40,R_8GPogxwCdstlqAD,,,,,52.3528,4.8584,anonymous,EN,39,4,5,4,5,3,4,4,3,1,2,5,5,5,1,4,1,2,2,3,3,3,5,1,21,Female,,Bachelor,,1,1,2,Never,Yes,je hebt de website boredbutton.com (of .nl). Daarop krijg je random spelletjes om te doen als je je verveelt. Hierop komt soms ook een spelletje waarop je po de beat moet klikken en dan gaat de muziek langzaam weg en dan moet je door blijven klikken.,4.0,1.5,5.0,2.0,2.3333333333333335,3.0,3.0,2.9761904761904767
2025-06-05 12:34:28,2025-06-05 12:59:39,IP Address,77.249.113.209,100,1511,True,2025-06-05 12:59:39,R_2aeEacytf8Ktf0L,,,,,52.3528,4.8584,anonymous,EN,40,2,3,4,3,1,2,1,2,2,3,2,3,3,3,2,3,2,3,2,4,3,3,3,21,Female,,Bachelor,,3,3,2,At least once every month,Yes,Just Dance,2.25,2.5,2.6666666666666665,2.6666666666666665,2.3333333333333335,3.5,3.0,2.702380952380952
2025-06-06 12:04:22,2025-06-06 12:30:26,IP Address,77.249.113.209,100,1564,True,2025-06-06 12:30:27,R_2HcJMPTaSKRPJFC,,,,,52.3528,4.8584,anonymous,EN,41,2,5,4,4,3,2,4,1,3,4,2,2,4,2,3,3,2,4,4,2,5,4,1,18,Female,,High School,,1,3,2,Never,No,,3.125,3.5,2.6666666666666665,2.6666666666666665,3.3333333333333335,3.5,2.5,3.0416666666666665
2025-06-08 12:42:38,2025-06-08 13:07:06,IP Address,77.249.113.209,100,1467,True,2025-06-08 13:07:06,R_2oYmRFZWPXOGQQI,,,,,52.3528,4.8584,anonymous,EN,43,1,2,4,4,4,1,2,1,5,5,4,4,3,1,1,1,5,5,4,4,5,4,5,22,Male,,Bachelor,,4,4,4,At least once a week,No,,2.375,5.0,3.6666666666666665,1.0,4.666666666666667,4.5,4.5,3.6726190476190474
2025-06-12 01:27:08,2025-06-12 02:09:43,IP Address,77.174.178.117,100,2554,True,2025-06-12 02:09:44,R_2qa0Kpp2CdquiOy,,,,,52.3564,4.8802,anonymous,EN,44,3,3,2,2,2,1,1,1,2,3,1,2,1,1,1,1,1,3,4,3,2,4,1,59,Female,,Master,,3,2,5,At least once every month,No,,1.875,2.5,1.3333333333333333,1.0,2.6666666666666665,2.5,2.5,2.0535714285714284
