StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Participation Code,Q1,Experience_1,Experience_2,Experience_3,Experience_4,Experience_5,Total
2025-05-27 01:26:14,2025-05-27 01:53:12,IP Address,62.194.3.155,100,1617,True,2025-05-27 01:53:13,R_8GkpSlRHur7ORZK,,,,,52.2271,5.1775,anonymous,EN,1,Minneapolis,65,65,30,70,60,58.0
2025-05-27 01:26:16,2025-05-27 01:57:19,IP Address,62.194.3.155,100,1863,True,2025-05-27 01:57:20,R_81GGDf57pmjSQhs,,,,,52.2271,5.1775,anonymous,EN,1,Chicago,75,85,20,80,75,67.0
2025-05-27 02:16:29,2025-05-27 02:26:14,IP Address,62.194.3.155,100,585,True,2025-05-27 02:26:15,R_8IEDWb2vflIxh85,,,,,52.2271,5.1775,anonymous,EN,2,Minneapolis,75,75,0,90,90,66.0
2025-05-27 02:16:41,2025-05-27 02:34:21,IP Address,62.194.3.155,100,1060,True,2025-05-27 02:34:22,R_82WjbdesyMr6j7o,,,,,52.2271,5.1775,anonymous,EN,2,Chicago,60,65,55,65,60,61.0
2025-05-27 09:03:26,2025-05-27 09:16:59,IP Address,77.249.113.209,100,812,True,2025-05-27 09:16:59,R_80pYEADsluvV4MO,,,,,52.3528,4.8584,anonymous,EN,3,Minneapolis,30,75,55,50,65,55.0
2025-05-27 09:03:30,2025-05-27 09:20:40,IP Address,77.249.113.209,100,1029,True,2025-05-27 09:20:40,R_21hJcJhnd7EaZjl,,,,,52.3528,4.8584,anonymous,EN,3,Chicago,25,35,65,45,45,43.0
2025-05-27 09:23:45,2025-05-27 10:10:04,IP Address,77.249.113.209,100,2779,True,2025-05-27 10:10:04,R_2g59B0m9PQEJl63,,,,,52.3528,4.8584,anonymous,EN,4,Chicago,70,70,20,80,75,63.0
2025-05-27 09:23:47,2025-05-27 10:14:15,IP Address,77.249.113.209,100,3028,True,2025-05-27 10:14:15,R_2HUoqnAgcQOhzn2,,,,,52.3528,4.8584,anonymous,EN,4,Minneapolis,85,75,20,90,75,69.0
2025-05-27 10:21:33,2025-05-27 10:34:54,IP Address,77.249.113.209,100,800,True,2025-05-27 10:34:54,R_2CCpqXdTJIJaZVW,,,,,52.3528,4.8584,anonymous,EN,5,Chicago,65,65,25,70,60,57.0
2025-05-27 10:21:37,2025-05-27 10:43:34,IP Address,77.249.113.209,100,1317,True,2025-05-27 10:43:35,R_8hzQeebr4OBaCtM,,,,,52.3528,4.8584,anonymous,EN,5,Minneapolis,35,35,45,35,40,38.0
2025-05-27 11:14:36,2025-05-27 13:29:17,IP Address,77.249.113.209,100,8081,True,2025-05-27 13:29:18,R_2YRqdGkWRRTE9uV,,,,,52.3528,4.8584,anonymous,EN,7,Minneapolis,15,15,20,80,60,38.0
2025-05-27 11:14:37,2025-05-27 13:34:42,IP Address,77.249.113.209,100,8404,True,2025-05-27 13:34:42,R_2k1aM3aweSiknqu,,,,,52.3528,4.8584,anonymous,EN,7,Chicago,55,60,35,65,50,53.0
2025-05-27 13:50:58,2025-05-27 13:58:52,IP Address,77.174.178.117,100,474,True,2025-05-27 13:58:52,R_8fV0Yj9HuVwcnyf,,,,,52.3528,4.8584,anonymous,EN,8,Minneapolis,70,25,25,90,5,43.0
2025-05-27 13:51:00,2025-05-27 14:06:26,IP Address,77.174.178.117,100,926,True,2025-05-27 14:06:26,R_83xV3T8MsGwHRL5,,,,,52.3528,4.8584,anonymous,EN,8,Chicago,60,10,85,65,25,49.0
2025-05-27 14:20:03,2025-05-27 14:36:52,IP Address,77.174.178.117,100,1009,True,2025-05-27 14:36:53,R_8mfWE2WYPf3scvI,,,,,52.3564,4.8802,anonymous,EN,9,Minneapolis,15,25,80,20,15,31.0
2025-05-27 14:20:04,2025-05-27 14:41:09,IP Address,77.174.178.117,100,1264,True,2025-05-27 14:41:09,R_8uWnDWdtPejjZZY,,,,,52.3564,4.8802,anonymous,EN,9,Chicago,75,45,25,80,80,61.0
2025-05-28 04:23:45,2025-05-28 04:52:12,IP Address,62.194.3.155,100,1706,True,2025-05-28 04:52:12,R_2ltsyUS1G0qJ2rQ,,,,,52.2271,5.1775,anonymous,EN,10,Chicago,40,55,75,60,30,52.0
2025-05-28 04:23:46,2025-05-28 04:56:36,IP Address,62.194.3.155,100,1970,True,2025-05-28 04:56:37,R_2jwvOYBUY03elPZ,,,,,52.2271,5.1775,anonymous,EN,10,Minneapolis,70,60,50,70,60,62.0
2025-05-28 06:35:04,2025-05-28 06:46:20,IP Address,89.205.163.43,100,675,True,2025-05-28 06:46:21,R_8vdnnlkjm1LUo0x,,,,,51.9168,4.4553,anonymous,EN,11,Chicago,35,60,50,35,45,45.0
2025-05-28 06:35:08,2025-05-28 06:57:09,IP Address,89.205.163.43,100,1321,True,2025-05-28 06:57:10,R_2i2Oo7wM93KfqEX,,,,,51.9168,4.4553,anonymous,EN,11,Minneapolis,65,45,40,60,35,49.0
2025-05-28 08:25:10,2025-05-28 08:45:11,IP Address,62.194.3.155,100,1200,True,2025-05-28 08:45:11,R_2R1RmpdYsB4KUCc,,,,,52.2271,5.1775,anonymous,EN,12,Chicago,10,30,75,10,10,27.0
2025-05-28 08:25:12,2025-05-28 08:49:19,IP Address,62.194.3.155,100,1447,True,2025-05-28 08:49:20,R_8Do2q71ok42v85F,,,,,52.2271,5.1775,anonymous,EN,12,Minneapolis,10,10,75,20,10,25.0
2025-05-28 09:00:15,2025-05-28 09:08:02,IP Address,62.194.3.155,100,467,True,2025-05-28 09:08:03,R_2pcklzUnwA8zJju,,,,,52.2271,5.1775,anonymous,EN,13,Minneapolis,65,60,35,60,75,59.0
2025-05-28 09:00:18,2025-05-28 09:12:16,IP Address,62.194.3.155,100,718,True,2025-05-28 09:12:16,R_2Ye33g6r9aqQoUx,,,,,52.2271,5.1775,anonymous,EN,13,Chicago,55,40,75,65,60,59.0
2025-05-29 01:01:37,2025-05-29 01:13:40,IP Address,62.194.3.155,100,722,True,2025-05-29 01:13:40,R_2EsvBW49M5s6ojN,,,,,52.2271,5.1775,anonymous,EN,14,Minneapolis,65,65,45,65,20,52.0
2025-05-29 01:01:41,2025-05-29 01:22:33,IP Address,62.194.3.155,100,1251,True,2025-05-29 01:22:33,R_2bOfFzVxxBTSmEC,,,,,52.2271,5.1775,anonymous,EN,14,Chicago,70,45,45,55,30,49.0
2025-05-29 11:34:54,2025-05-29 11:55:28,IP Address,62.194.3.155,100,1234,True,2025-05-29 11:55:29,R_2pRS3ELOk0PgftZ,,,,,52.2283,5.1971,anonymous,EN,15,Minneapolis,50,30,85,35,10,42.0
2025-05-29 11:34:55,2025-05-29 11:59:33,IP Address,62.194.3.155,100,1478,True,2025-05-29 11:59:34,R_2valzDZ0kD5qYVP,,,,,52.2283,5.1971,anonymous,EN,15,Chicago,60,50,50,60,25,49.0
2025-05-29 12:07:25,2025-05-29 12:21:05,IP Address,62.194.3.155,100,819,True,2025-05-29 12:21:05,R_8lYvyCXdLW716RX,,,,,52.2283,5.1971,anonymous,EN,16,Chicago,35,40,65,60,50,50.0
2025-05-29 12:07:26,2025-05-29 12:24:42,IP Address,62.194.3.155,100,1035,True,2025-05-29 12:24:42,R_8K1DBMG47iVveWu,,,,,52.2283,5.1971,anonymous,EN,16,Minneapolis,65,60,45,35,60,53.0
2025-05-30 05:04:54,2025-05-30 05:13:06,IP Address,62.194.3.155,100,492,True,2025-05-30 05:13:07,R_8gYs8NqJ5o57gMJ,,,,,52.2283,5.1971,anonymous,EN,17,Chicago,65,65,30,60,60,56.0
2025-05-30 05:04:55,2025-05-30 05:17:29,IP Address,62.194.3.155,100,753,True,2025-05-30 05:17:29,R_8OIXiAATAbdLCiB,,,,,52.2283,5.1971,anonymous,EN,17,Minneapolis,40,35,45,60,35,43.0
2025-05-30 06:29:43,2025-05-30 06:38:36,IP Address,178.230.146.173,100,533,True,2025-05-30 06:38:37,R_26mc3ZMgEZWxEaz,,,,,51.9082,4.5019,anonymous,EN,19,Minneapolis,60,50,25,60,70,53.0
2025-05-30 06:29:48,2025-05-30 06:43:00,IP Address,178.230.146.173,100,792,True,2025-05-30 06:43:00,R_8PdSZlwbEU5KJ62,,,,,51.9082,4.5019,anonymous,EN,19,Chicago,50,60,25,60,70,53.0
2025-05-31 04:21:43,2025-05-31 04:49:32,IP Address,62.194.3.155,100,1668,True,2025-05-31 04:49:32,R_8M3Urmr39bZVRnU,,,,,52.2283,5.1971,anonymous,EN,21,Minneapolis,65,65,45,75,75,65.0
2025-05-31 04:21:45,2025-05-31 04:53:35,IP Address,62.194.3.155,100,1910,True,2025-05-31 04:53:35,R_8fwo9hmmxZlESJz,,,,,52.2283,5.1971,anonymous,EN,21,Chicago,85,80,30,90,90,75.0
2025-06-01 04:22:27,2025-06-01 04:34:44,IP Address,62.194.3.155,100,737,True,2025-06-01 04:34:45,R_8wA7crEOG8l9E1H,,,,,52.2283,5.1971,anonymous,EN,22,Chicago,40,30,60,40,35,41.0
2025-06-01 04:22:29,2025-06-01 04:38:51,IP Address,62.194.3.155,100,982,True,2025-06-01 04:38:52,R_2JltBp1rc1XAaL8,,,,,52.2283,5.1971,anonymous,EN,22,Minneapolis,35,25,85,30,15,38.0
2025-06-03 01:19:40,2025-06-03 01:20:50,IP Address,145.109.7.164,100,70,True,2025-06-03 01:20:50,R_2xXgBGyPiYQrNMS,,,,,52.352,4.9392,anonymous,EN,24,Chicago,25,65,0,50,0,28.0
2025-06-03 01:19:41,2025-06-03 01:24:40,IP Address,145.109.7.164,100,298,True,2025-06-03 01:24:40,R_8sYKWg6EkF8GGsz,,,,,52.352,4.9392,anonymous,EN,24,Minneapolis,40,60,0,0,0,20.0
2025-06-03 01:31:41,2025-06-03 01:57:59,IP Address,145.109.7.164,100,1577,True,2025-06-03 01:57:59,R_8e2JSw8JQSl249a,,,,,52.352,4.9392,anonymous,EN,25,Minneapolis,75,25,35,70,70,55.0
2025-06-03 01:31:42,2025-06-03 02:01:46,IP Address,145.109.7.164,100,1804,True,2025-06-03 02:01:46,R_2Ic4FBh8QfCHAaR,,,,,52.352,4.9392,anonymous,EN,25,Chicago,80,75,0,80,100,67.0
2025-06-03 03:13:35,2025-06-03 03:21:02,IP Address,145.109.7.164,100,447,True,2025-06-03 03:21:03,R_8YOitjYskEEvuHD,,,,,52.352,4.9392,anonymous,EN,26,Minneapolis,80,65,50,75,70,68.0
2025-06-03 03:13:38,2025-06-03 03:28:59,IP Address,145.109.7.164,100,921,True,2025-06-03 03:29:00,R_2CrJEEUQF9Mn3yJ,,,,,52.352,4.9392,anonymous,EN,26,Chicago,90,95,35,80,85,77.0
2025-06-03 04:32:39,2025-06-03 05:11:05,IP Address,145.109.7.164,100,2306,True,2025-06-03 05:11:06,R_8SAdufTgRuh8R7f,,,,,52.352,4.9392,anonymous,EN,27,Minneapolis,50,60,70,60,35,55.0
2025-06-03 04:32:40,2025-06-03 05:14:50,IP Address,145.109.7.164,100,2530,True,2025-06-03 05:14:51,R_2Ca5wnV7as0iD9z,,,,,52.352,4.9392,anonymous,EN,27,Chicago,45,40,65,45,50,49.0
2025-06-03 05:21:34,2025-06-03 05:37:11,IP Address,145.109.7.164,100,937,True,2025-06-03 05:37:11,R_2DB0kUQWpueCLaV,,,,,52.352,4.9392,anonymous,EN,28,Chicago,25,40,40,65,65,47.0
2025-06-03 05:21:35,2025-06-03 05:41:02,IP Address,145.109.7.164,100,1166,True,2025-06-03 05:41:02,R_2ksGV0jpTtMMrx7,,,,,52.352,4.9392,anonymous,EN,28,Minneapolis,40,40,65,60,35,48.0
2025-06-03 05:45:19,2025-06-03 05:56:55,IP Address,145.109.7.164,100,696,True,2025-06-03 05:56:56,R_8RecYzGWAUFsuXv,,,,,52.352,4.9392,anonymous,EN,29,Chicago,65,60,35,70,80,62.0
2025-06-03 05:45:24,2025-06-03 06:05:30,IP Address,145.109.7.164,100,1206,True,2025-06-03 06:05:30,R_88AfMxi87WL0nQJ,,,,,52.352,4.9392,anonymous,EN,29,Minneapolis,70,75,75,95,100,83.0
2025-06-04 03:34:20,2025-06-04 03:43:21,IP Address,145.109.54.91,100,540,True,2025-06-04 03:43:22,R_2aJrcDXBRQyA7rE,,,,,52.3179,4.9521,anonymous,EN,30,Chicago,70,80,30,75,60,63.0
2025-06-04 03:34:22,2025-06-04 03:47:24,IP Address,145.109.54.91,100,782,True,2025-06-04 03:47:25,R_8Eu93wiqwHH73e9,,,,,52.3179,4.9521,anonymous,EN,30,Minneapolis,50,40,35,40,25,38.0
2025-06-04 05:26:18,2025-06-04 05:49:38,IP Address,77.249.113.209,100,1399,True,2025-06-04 05:49:38,R_2ON2nC90FKLy4pj,,,,,52.3528,4.8584,anonymous,EN,31,Minneapolis,65,60,40,75,70,62.0
2025-06-04 05:26:19,2025-06-04 05:53:51,IP Address,77.249.113.209,100,1651,True,2025-06-04 05:53:51,R_816wGpJuTyD9EDa,,,,,52.3528,4.8584,anonymous,EN,31,Chicago,70,85,40,80,85,72.0
2025-06-04 14:39:18,2025-06-04 14:54:11,IP Address,62.194.3.155,100,893,True,2025-06-04 14:54:12,R_8PdQw2XwMLG0vCy,,,,,52.2283,5.1971,anonymous,EN,32,Minneapolis,50,60,35,65,70,56.0
2025-06-04 14:39:21,2025-06-04 15:03:23,IP Address,62.194.3.155,100,1441,True,2025-06-04 15:03:23,R_8s60wH21czNz853,,,,,52.2283,5.1971,anonymous,EN,32,Chicago,60,70,40,70,65,61.0
2025-06-05 04:06:03,2025-06-05 04:25:59,IP Address,145.109.36.67,100,1195,True,2025-06-05 04:26:00,R_2rp4e9oft28JZWQ,,,,,52.4414,4.8156,anonymous,EN,33,Minneapolis,60,60,45,65,55,57.0
2025-06-05 04:06:05,2025-06-05 04:30:11,IP Address,145.109.36.67,100,1446,True,2025-06-05 04:30:11,R_8YYyxRprZkaonj9,,,,,52.4414,4.8156,anonymous,EN,33,Chicago,65,60,35,70,60,58.0
2025-06-05 04:48:52,2025-06-05 05:05:39,IP Address,145.109.36.67,100,1006,True,2025-06-05 05:05:39,R_2EBBn5eWnIyijuN,,,,,52.3759,4.8975,anonymous,EN,34,Chicago,30,35,60,35,35,39.0
2025-06-05 04:48:54,2025-06-05 05:09:31,IP Address,145.109.36.67,100,1236,True,2025-06-05 05:09:31,R_8GJLHehMSNPkdcr,,,,,52.3759,4.8975,anonymous,EN,34,Minneapolis,35,20,80,25,20,36.0
2025-06-05 05:28:16,2025-06-05 05:40:49,IP Address,145.109.36.67,100,753,True,2025-06-05 05:40:49,R_2SigCAX2mgBRBWc,,,,,52.3759,4.8975,anonymous,EN,35,Chicago,80,90,15,85,80,70.0
2025-06-05 05:28:18,2025-06-05 05:49:18,IP Address,145.109.36.67,100,1260,True,2025-06-05 05:49:19,R_2VvL3ojRTsHZBmx,,,,,52.3759,4.8975,anonymous,EN,35,Minneapolis,65,80,95,85,75,80.0
2025-06-05 06:05:02,2025-06-05 06:15:21,IP Address,145.109.36.67,100,619,True,2025-06-05 06:15:21,R_8KxPt6VtsnP16fg,,,,,52.3759,4.8975,anonymous,EN,36,Chicago,85,70,80,65,65,73.0
2025-06-05 06:05:03,2025-06-05 06:19:39,IP Address,145.109.36.67,100,875,True,2025-06-05 06:19:39,R_8pS82fBWUZMNFPM,,,,,52.3759,4.8975,anonymous,EN,36,Minneapolis,55,60,75,55,60,61.0
2025-06-05 07:26:32,2025-06-05 07:38:54,IP Address,145.109.36.67,100,741,True,2025-06-05 07:38:54,R_2rwSDYbG1xIcra9,,,,,52.3759,4.8975,anonymous,EN,37,Minneapolis,20,80,10,25,100,47.0
2025-06-05 07:26:34,2025-06-05 07:43:17,IP Address,145.109.36.67,100,1003,True,2025-06-05 07:43:18,R_21Qo0rNf41VoTNZ,,,,,52.3759,4.8975,anonymous,EN,37,Chicago,75,80,15,50,100,64.0
2025-06-05 10:31:33,2025-06-05 10:38:37,IP Address,77.249.113.209,100,423,True,2025-06-05 10:38:37,R_2NNpCd15SB0BMvn,,,,,52.3528,4.8584,anonymous,EN,38,Minneapolis,50,60,25,65,35,47.0
2025-06-05 10:31:37,2025-06-05 10:47:03,IP Address,77.249.113.209,100,926,True,2025-06-05 10:47:04,R_20SOWx4899Fc3tE,,,,,52.3528,4.8584,anonymous,EN,38,Chicago,50,55,20,50,50,45.0
2025-06-05 10:53:38,2025-06-05 11:04:33,IP Address,77.249.113.209,100,655,True,2025-06-05 11:04:33,R_8dAYpVsJCTCrK8W,,,,,52.3528,4.8584,anonymous,EN,39,Minneapolis,60,55,70,65,30,56.0
2025-06-05 10:53:39,2025-06-05 11:08:36,IP Address,77.249.113.209,100,897,True,2025-06-05 11:08:37,R_8rl7m4kMAocPLeh,,,,,52.3528,4.8584,anonymous,EN,39,Chicago,50,35,85,20,35,45.0
2025-06-05 12:34:24,2025-06-05 12:48:18,IP Address,77.249.113.209,100,833,True,2025-06-05 12:48:19,R_29drSadkBHP1o8V,,,,,52.3528,4.8584,anonymous,EN,40,Chicago,30,20,75,35,20,36.0
2025-06-05 12:34:25,2025-06-05 12:52:12,IP Address,77.249.113.209,100,1066,True,2025-06-05 12:52:13,R_8ezN7nzU5fYg7L1,,,,,52.3528,4.8584,anonymous,EN,40,Minneapolis,40,30,65,60,25,44.0
2025-06-06 12:04:10,2025-06-06 12:14:10,IP Address,77.249.113.209,100,599,True,2025-06-06 12:14:11,R_8TYZ7gUhuNgaIKJ,,,,,52.3528,4.8584,anonymous,EN,41,Chicago,60,55,35,60,75,57.0
2025-06-06 12:04:12,2025-06-06 12:23:18,IP Address,77.249.113.209,100,1146,True,2025-06-06 12:23:19,R_8O1zLadCAfdpTrl,,,,,52.3528,4.8584,anonymous,EN,41,Minneapolis,65,75,55,60,55,62.0
2025-06-08 12:42:33,2025-06-08 12:52:41,IP Address,77.249.113.209,100,608,True,2025-06-08 12:52:42,R_2DewajjxU2KX9h7,,,,,52.3528,4.8584,anonymous,EN,43,Chicago,70,85,30,85,80,70.0
2025-06-08 12:42:34,2025-06-08 12:57:04,IP Address,77.249.113.209,100,869,True,2025-06-08 12:57:05,R_2zr2xf8Vbl7XntO,,,,,52.3528,4.8584,anonymous,EN,43,Minneapolis,65,75,65,65,40,62.0
2025-06-12 01:27:03,2025-06-12 01:54:10,IP Address,77.174.178.117,100,1627,True,2025-06-12 01:54:10,R_2QSvPosVbvaQqw9,,,,,52.3564,4.8802,anonymous,EN,44,Chicago,10,30,35,60,55,38.0
2025-06-12 01:27:06,2025-06-12 02:03:57,IP Address,77.174.178.117,100,2210,True,2025-06-12 02:03:57,R_2p3F0nDln5PyzGp,,,,,52.3564,4.8802,anonymous,EN,44,Minneapolis,35,30,55,40,30,38.0
