StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q2,Q3,Q3_5_TEXT,Q4,Q4_6_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_1_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your participation code,"In films I would prefer to have the ambient noise and music removed, in order to better understand the actors' speech","I turn off the radio, if there are loud sounds in the car",Background noise really annoys me when making a phone call,I am easily distracted by ambient noises during conversations,"Disturbing noises should be suppressed in mobile phones to improve speech intelligibility, even the sound quality is impaired by this",Making conversation is no fun while the radio plays at the same time,I am really annoyed by ambient noise in a restaurant during conversations,"Ambient sounds, like the dishwasher, are annoying me often during conversations",I would be willing to invest a lot of money in a good stereo,I would hear differences between expensive and cheap loudspeakers,I react more sensitively to loud sounds than most of the other people,I am sensitive to noise,I react more sensitively to sharp sounds than my fellow humans,I avoid uncertain and unexpected listening situations,I don't like unexpected sound like a suddenly approaching car,I prefer familiar acoustic situations rather than unknown situations,"I love a powerful, 'bombastic' sound when I watch films at home",I am open to new sound impressions and sound adjustments of audio devices,"I enjoy music, even when it is loud",I prefer warm sound when listening to music,I prefer a warm sound when making a phone call,I would like to experience with high detail all sounds when walking in the wood,It is important for me to catch all details exactly when listening to music,What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is the highest level of education you have completed? - Selected Choice,What is the highest level of education you have completed? - Other (please specify) - Text,I have musical training and/or experience.,How would you rate your sense of rhythm?,"How often do you listen to music while doing other tasks (e.g., working, studying, gaming)?",How often do you play video games?,"Have you ever played a rhythm-based video game before? If yes, please specify which one(s). - Selected Choice","Have you ever played a rhythm-based video game before? If yes, please specify which one(s). - Yes - Text"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID1218229398""}","{""ImportId"":""QID1218229399""}","{""ImportId"":""QID1218229400""}","{""ImportId"":""QID1218229401""}","{""ImportId"":""QID1218229402""}","{""ImportId"":""QID1218229403""}","{""ImportId"":""QID1218229404""}","{""ImportId"":""QID1218229405""}","{""ImportId"":""QID1218229406""}","{""ImportId"":""QID1218229407""}","{""ImportId"":""QID1218229408""}","{""ImportId"":""QID1218229409""}","{""ImportId"":""QID1218229410""}","{""ImportId"":""QID1218229411""}","{""ImportId"":""QID1218229412""}","{""ImportId"":""QID1218229413""}","{""ImportId"":""QID1218229414""}","{""ImportId"":""QID1218229415""}","{""ImportId"":""QID1218229416""}","{""ImportId"":""QID1218229417""}","{""ImportId"":""QID1218229418""}","{""ImportId"":""QID1218229419""}","{""ImportId"":""QID1218229420""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_1_TEXT""}"
2025-05-26 00:47:55,2025-05-26 01:32:23,IP Address,62.194.3.155,100,2667,True,2025-05-26 01:32:23,R_2q8lJArH7pWCnXH,,,,,52.2271,5.1775,anonymous,EN,0,Partially apply,Not apply at all,Rather apply,Partially apply,Rather apply,Fully apply,Fully apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Partially apply,Rather apply,Fully apply,Partially apply,Partially apply,Not apply at all,Not apply at all,Not apply at all,Rather apply,Not apply at all,Not apply at all,Not apply at all,69,Female,,HBO,,Somewhat disagree,Poor,Sometimes,Never,No,
2025-05-27 01:26:03,2025-05-27 02:04:13,IP Address,62.194.3.155,100,2289,True,2025-05-27 02:04:13,R_8aCXHtLH9NiIRoz,,,,,52.2271,5.1775,anonymous,EN,1,Partially apply,Rather apply,Partially apply,Rather apply,Rarely apply,Partially apply,Partially apply,Rather apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Partially apply,Not apply at all,Rarely apply,Rather apply,Rarely apply,Partially apply,Rarely apply,Fully apply,Rather apply,Partially apply,Not apply at all,31,Female,,Master,,Somewhat disagree,Very poor,Sometimes,Never,No,
2025-05-27 02:16:48,2025-05-27 02:38:00,IP Address,62.194.3.155,100,1272,True,2025-05-27 02:38:01,R_8ta1jBLTgfmxxBv,,,,,52.2271,5.1775,anonymous,EN,2,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Not apply at all,Rarely apply,Rather apply,Rather apply,Partially apply,Rather apply,Rarely apply,Rather apply,Not apply at all,Partially apply,Rather apply,Rarely apply,Partially apply,Rather apply,Rather apply,Rather apply,Rarely apply,Partially apply,22,Female,,High School,,Strongly disagree,Poor,Often,Never,No,
2025-05-27 09:03:36,2025-05-27 09:23:17,IP Address,77.249.113.209,100,1180,True,2025-05-27 09:23:18,R_2q58L4rGINXiykX,,,,,52.3528,4.8584,anonymous,EN,3,Partially apply,Rather apply,Rather apply,Partially apply,Rather apply,Partially apply,Rarely apply,Partially apply,Rather apply,Rather apply,Partially apply,Rather apply,Rather apply,Not apply at all,Rarely apply,Rarely apply,Rarely apply,Partially apply,Rather apply,Rarely apply,Rather apply,Partially apply,Not apply at all,22,Female,,High School,,Strongly disagree,Poor,Often,Less than once a month,No,
2025-05-27 09:23:52,2025-05-27 10:19:33,IP Address,77.249.113.209,100,3340,True,2025-05-27 10:19:33,R_2FA34l2IVlFaQfv,,,,,52.3528,4.8584,anonymous,EN,4,Rather apply,Fully apply,Rather apply,Rather apply,Fully apply,Fully apply,Partially apply,Not apply at all,Rather apply,Partially apply,Partially apply,Rather apply,Rather apply,Rarely apply,Partially apply,Rarely apply,Fully apply,Partially apply,Fully apply,Rarely apply,Partially apply,Fully apply,Partially apply,59,Female,,Master,,Strongly agree,Poor,Never,Never,No,
2025-05-27 10:21:38,2025-05-27 10:49:13,IP Address,77.249.113.209,100,1654,True,2025-05-27 10:49:14,R_2uxPREvfJhuXPzN,,,,,52.3528,4.8584,anonymous,EN,5,Partially apply,Fully apply,Rather apply,Fully apply,Rather apply,Partially apply,Rarely apply,Not apply at all,Rarely apply,Rather apply,Fully apply,Rarely apply,Fully apply,Rarely apply,Fully apply,Partially apply,Rather apply,Partially apply,Partially apply,Rather apply,Rather apply,Fully apply,Partially apply,56,Male,,Master,,Strongly disagree,Very poor,Rarely,Never,No,
2025-05-27 10:50:01,2025-05-27 11:13:23,IP Address,77.249.113.209,100,1401,True,2025-05-27 11:13:24,R_2Uk8szsw4fdBHFL,,,,,52.3528,4.8584,anonymous,EN,6,Partially apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Not apply at all,Not apply at all,Not apply at all,Fully apply,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Not apply at all,Rarely apply,Rather apply,Rather apply,Rather apply,Fully apply,Partially apply,Not apply at all,Rarely apply,Not apply at all,22,Female,,Bachelor,,Strongly disagree,Poor,Always,Never,No,
2025-05-27 11:14:41,2025-05-27 13:43:09,IP Address,77.249.113.209,100,8907,True,2025-05-27 13:43:10,R_2NKUc535ueYgArp,,,,,52.3528,4.8584,anonymous,EN,7,Rather apply,Rather apply,Fully apply,Partially apply,Rarely apply,Partially apply,Partially apply,Not apply at all,Fully apply,Partially apply,Rather apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rather apply,Rarely apply,Partially apply,Partially apply,Partially apply,Rather apply,Fully apply,Partially apply,56,Female,,Master,,Somewhat agree,Good,Sometimes,Never,No,
2025-05-27 13:51:03,2025-05-27 14:09:16,IP Address,77.174.178.117,100,1093,True,2025-05-27 14:09:17,R_8J8Itxy1AdquyL0,,,,,52.3528,4.8584,anonymous,EN,8,Rather apply,Rather apply,Fully apply,Rarely apply,Fully apply,Rather apply,Rarely apply,Rarely apply,Partially apply,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Rather apply,Fully apply,Rather apply,Fully apply,Rather apply,Rather apply,Partially apply,Rather apply,24,Male,,High School,,Somewhat disagree,Poor,Always,Less than once a month,No,
2025-05-27 14:20:07,2025-05-27 14:51:12,IP Address,77.174.178.117,100,1864,True,2025-05-27 14:51:13,R_8R7mqsBKqxBq9R3,,,,,52.3564,4.8802,anonymous,EN,9,Rarely apply,Partially apply,Fully apply,Not apply at all,Not apply at all,Rather apply,Partially apply,Partially apply,Rather apply,Rather apply,Partially apply,Not apply at all,Rather apply,Rarely apply,Rarely apply,Rather apply,Partially apply,Rather apply,Rather apply,Rather apply,Rather apply,Rarely apply,Not apply at all,19,Male,,High School,,Somewhat agree,Good,Sometimes,Daily,Yes,piano tiles
2025-05-28 04:23:48,2025-05-28 05:04:48,IP Address,62.194.3.155,100,2460,True,2025-05-28 05:04:48,R_2JZSajDDKA25Vhn,,,,,52.2271,5.1775,anonymous,EN,10,Rarely apply,Rarely apply,Rather apply,Rarely apply,Not apply at all,Rather apply,Rarely apply,Partially apply,Partially apply,Partially apply,Rather apply,Rarely apply,Partially apply,Not apply at all,Rarely apply,Not apply at all,Partially apply,Fully apply,Rather apply,Fully apply,Rather apply,Fully apply,Rather apply,41,Male,,Bachelor,,Somewhat agree,Good,Sometimes,Never,No,
2025-05-28 06:35:11,2025-05-28 07:10:02,IP Address,89.205.163.43,100,2091,True,2025-05-28 07:10:03,R_2R3Nuq7RkiAhluz,,,,,51.9168,4.4553,anonymous,EN,11,Rarely apply,Rarely apply,Rather apply,Partially apply,Rarely apply,Rather apply,Rarely apply,Rarely apply,Rather apply,Rather apply,Partially apply,Rather apply,Rather apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Rather apply,Partially apply,Rather apply,Rarely apply,Rather apply,Partially apply,72,Male,,Bachelor,,Somewhat agree,Average,Sometimes,Daily,No,
2025-05-28 08:25:17,2025-05-28 08:57:43,IP Address,62.194.3.155,100,1945,True,2025-05-28 08:57:44,R_8A3B7FNuzYxcypb,,,,,52.2271,5.1775,anonymous,EN,12,Rarely apply,Rather apply,Partially apply,Fully apply,Partially apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Rather apply,Partially apply,Partially apply,Partially apply,Rarely apply,Rarely apply,Partially apply,Rarely apply,Partially apply,Rather apply,Rather apply,Partially apply,Partially apply,Partially apply,27,Female,,MBO,,Neither agree nor disagree,Average,Often,Never,No,
2025-05-28 09:00:21,2025-05-28 09:21:29,IP Address,62.194.3.155,100,1268,True,2025-05-28 09:21:30,R_2aOVIGRfwuSE5rJ,,,,,52.2271,5.1775,anonymous,EN,13,Not apply at all,Not apply at all,Rather apply,Rather apply,Partially apply,Partially apply,Rarely apply,Not apply at all,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Rather apply,Rarely apply,Not apply at all,Rarely apply,Rather apply,Partially apply,Fully apply,Rarely apply,Partially apply,Rather apply,Rather apply,30,Male,,HBO,,Strongly disagree,Average,Always,Daily,Yes,Buzz
2025-05-29 01:01:44,2025-05-29 01:31:10,IP Address,62.194.3.155,100,1766,True,2025-05-29 01:31:11,R_8Cmps0KIsxiSUql,,,,,52.2271,5.1775,anonymous,EN,14,Not apply at all,Partially apply,Rarely apply,Partially apply,Rather apply,Rather apply,Rather apply,Not apply at all,Rather apply,Partially apply,Fully apply,Fully apply,Rather apply,Rather apply,Rather apply,Fully apply,Partially apply,Rather apply,Partially apply,Fully apply,Fully apply,Rather apply,Rather apply,52,Female,,Other (please specify),propedeuse,Strongly agree,Good,Sometimes,Never,No,
2025-05-29 11:34:58,2025-05-29 12:04:22,IP Address,62.194.3.155,100,1763,True,2025-05-29 12:04:23,R_2esvdnQhLfdFr0Z,,,,,52.2283,5.1971,anonymous,EN,15,Not apply at all,Rarely apply,Fully apply,Fully apply,Fully apply,Rather apply,Rather apply,Partially apply,Fully apply,Fully apply,Fully apply,Fully apply,Fully apply,Partially apply,Rarely apply,Partially apply,Fully apply,Fully apply,Fully apply,Partially apply,Rather apply,Rather apply,Rather apply,25,Female,,Bachelor,,Strongly disagree,Average,Always,Less than once a month,No,
2025-05-29 12:07:29,2025-05-29 12:29:28,IP Address,62.194.3.155,100,1319,True,2025-05-29 12:29:28,R_26RWGkUvyxX2OpX,,,,,52.2283,5.1971,anonymous,EN,16,Not apply at all,Rarely apply,Rarely apply,Partially apply,Rarely apply,Not apply at all,Rarely apply,Not apply at all,Rather apply,Rather apply,Not apply at all,Rarely apply,Partially apply,Rather apply,Partially apply,Rarely apply,Not apply at all,Rather apply,Fully apply,Rather apply,Partially apply,Fully apply,Partially apply,26,Female,,Master,,Neither agree nor disagree,Good,Often,At least once every month,Yes,"don't remember the name, but on the wii"
2025-05-30 05:04:59,2025-05-30 05:25:56,IP Address,62.194.3.155,100,1256,True,2025-05-30 05:25:57,R_2k1jsrrMUu4WZB9,,,,,52.2283,5.1971,anonymous,EN,17,Rarely apply,Partially apply,Rarely apply,Not apply at all,Rather apply,Rarely apply,Not apply at all,Rarely apply,Rarely apply,Not apply at all,Not apply at all,Rarely apply,Rarely apply,Rarely apply,Not apply at all,Not apply at all,Rather apply,Rarely apply,Rarely apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,47,Male,,Bachelor,,Strongly disagree,Very poor,Sometimes,Daily,No,
