StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q2,Q3,Q3_5_TEXT,Q4,Q4_6_TEXT,Q5,Q6,Q7,Q8,Q9,Q9_1_TEXT
2025-05-30 05:50:48,2025-05-30 06:25:51,IP Address,178.230.146.173,100,2102,True,2025-05-30 06:25:51,R_8eYjxZBqMy4GSoV,,,,,52.2283,5.1971,anonymous,EN,18,Not apply at all,Partially apply,Fully apply,Partially apply,Partially apply,Rarely apply,Partially apply,Rarely apply,Partially apply,Partially apply,Rarely apply,Rarely apply,Partially apply,Partially apply,Rather apply,Rarely apply,Rather apply,Rather apply,Fully apply,Partially apply,Fully apply,Rarely apply,Not apply at all,58,Female,,MBO,,Strongly agree,Average,Always,Never,No,
2025-05-30 06:29:51,2025-05-30 06:52:16,IP Address,178.230.146.173,100,1345,True,2025-05-30 06:52:16,R_8UFG5jyY3cml2zn,,,,,51.9082,4.5019,anonymous,EN,19,Partially apply,Rarely apply,Partially apply,Rarely apply,Rather apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Rather apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Partially apply,Rather apply,Rather apply,Rather apply,Rather apply,Fully apply,Partially apply,Rather apply,Rather apply,56,Female,,Master,,Somewhat disagree,Average,Rarely,At least once every month,No,
2025-05-30 06:56:23,2025-05-30 07:22:17,IP Address,178.230.146.173,100,1554,True,2025-05-30 07:22:18,R_8QQ3XJb9ZFK8CxE,,,,,51.9082,4.5019,anonymous,EN,20,Partially apply,Fully apply,Fully apply,Rather apply,Rather apply,Partially apply,Partially apply,Partially apply,Fully apply,Fully apply,Partially apply,Partially apply,Partially apply,Not apply at all,Rarely apply,Rarely apply,Partially apply,Rather apply,Fully apply,Rather apply,Partially apply,Fully apply,Fully apply,68,Female,,HBO,,Somewhat agree,Very Good,Often,Never,No,
2025-05-31 04:21:48,2025-05-31 04:57:24,IP Address,62.194.3.155,100,2136,True,2025-05-31 04:57:25,R_2sSJEzi88WeT8L7,,,,,52.2283,5.1971,anonymous,EN,21,Rarely apply,Rather apply,Rather apply,Rather apply,Fully apply,Not apply at all,Rarely apply,Rarely apply,Rarely apply,Fully apply,Rarely apply,Partially apply,Rarely apply,Rarely apply,Rather apply,Fully apply,Rather apply,Rather apply,Rather apply,Rather apply,Partially apply,Fully apply,Rather apply,23,Male,,HBO,,Strongly disagree,Poor,Always,Less than once a month,No,
2025-06-01 04:22:32,2025-06-01 04:45:47,IP Address,62.194.3.155,100,1395,True,2025-06-01 04:45:47,R_2njgMELu0G34WoQ,,,,,52.2283,5.1971,anonymous,EN,22,Rarely apply,Partially apply,Partially apply,Rather apply,Rarely apply,Rarely apply,Not apply at all,Rarely apply,Not apply at all,Partially apply,Partially apply,Rarely apply,Partially apply,Not apply at all,Not apply at all,Partially apply,Rather apply,Rather apply,Rather apply,Rather apply,Partially apply,Partially apply,Rarely apply,22,Male,,Bachelor,,Strongly agree,Good,Sometimes,At least once a week,Yes,A sort of gamified way to play piano
2025-06-01 04:56:13,2025-06-01 05:33:38,IP Address,62.194.3.155,100,2244,True,2025-06-01 05:33:39,R_82cjV7AODlAlsbI,,,,,52.2283,5.1971,anonymous,EN,23,Rarely apply,Rather apply,Rather apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rather apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Partially apply,Partially apply,Not apply at all,Rather apply,Partially apply,Rather apply,Rather apply,Not apply at all,Partially apply,52,Male,,HBO,,Strongly disagree,Average,Never,At least once every month,No,
2025-06-03 01:07:48,2025-06-03 01:30:25,IP Address,145.109.7.164,100,1357,True,2025-06-03 01:30:25,R_22RwdWCbT6iNJ40,,,,,52.352,4.9392,anonymous,EN,24,Fully apply,Fully apply,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Rarely apply,Rarely apply,Partially apply,Not apply at all,Not apply at all,Not apply at all,Not apply at all,23,Female,,High School,,Somewhat agree,Very poor,Often,Less than once a month,No,
2025-06-03 01:31:45,2025-06-03 02:09:25,IP Address,145.109.7.164,100,2260,True,2025-06-03 02:09:26,R_8yNuZnaRZgqSlvb,,,,,52.352,4.9392,anonymous,EN,25,Rarely apply,Fully apply,Rather apply,Fully apply,Rather apply,Rarely apply,Not apply at all,Rarely apply,Fully apply,Rather apply,Rather apply,Rather apply,Rarely apply,Partially apply,Rarely apply,Rather apply,Rather apply,Fully apply,Rather apply,Partially apply,Fully apply,Rather apply,Partially apply,24,Male,,Bachelor,,Strongly agree,Very Good,Often,At least once a week,Yes,"Crypt of the NecroDanser, Just Dance"
2025-06-03 03:13:40,2025-06-03 03:31:11,IP Address,145.109.7.164,100,1050,True,2025-06-03 03:31:12,R_2APSI9qfrmMK8ut,,,,,52.352,4.9392,anonymous,EN,26,Fully apply,Rarely apply,Fully apply,Rather apply,Rather apply,Fully apply,Rarely apply,Not apply at all,Rather apply,Rather apply,Rather apply,Rather apply,Rather apply,Not apply at all,Not apply at all,Partially apply,Partially apply,Rather apply,Partially apply,Rather apply,Rather apply,Partially apply,Not apply at all,22,Female,,High School,,Strongly disagree,Average,Often,Never,No,
2025-06-03 04:32:42,2025-06-03 05:17:37,IP Address,145.109.7.164,100,2694,True,2025-06-03 05:17:37,R_2pG2CNvfz8xusCa,,,,,52.352,4.9392,anonymous,EN,27,Rarely apply,Rarely apply,Rather apply,Rather apply,Partially apply,Rarely apply,Not apply at all,Partially apply,Rather apply,Fully apply,Partially apply,Rarely apply,Rather apply,Rarely apply,Rather apply,Rather apply,Rather apply,Rather apply,Fully apply,Partially apply,Partially apply,Rather apply,Partially apply,20,Male,,High School,,Somewhat agree,Good,Often,Daily,Yes,GUITAR HERO
2025-06-03 05:21:36,2025-06-03 05:43:49,IP Address,145.109.7.164,100,1332,True,2025-06-03 05:43:49,R_8I3OqWozuSbCp5M,,,,,52.352,4.9392,anonymous,EN,28,Rather apply,Not apply at all,Rather apply,Partially apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Fully apply,Not apply at all,Rarely apply,Not apply at all,Not apply at all,Rarely apply,Rarely apply,Fully apply,Fully apply,Fully apply,Partially apply,Rather apply,Rarely apply,Rarely apply,20,Female,,High School,,Strongly disagree,Average,Often,Less than once a month,No,
2025-06-03 05:45:25,2025-06-03 06:08:38,IP Address,145.109.7.164,100,1392,True,2025-06-03 06:08:38,R_8aCPEpQa878hrql,,,,,52.352,4.9392,anonymous,EN,29,Not apply at all,Not apply at all,Partially apply,Rarely apply,Partially apply,Rarely apply,Not apply at all,Rarely apply,Partially apply,Partially apply,Rarely apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Rarely apply,Rarely apply,Rather apply,Rather apply,Partially apply,Partially apply,Rarely apply,Rarely apply,22,Male,,High School,,Somewhat agree,Good,Often,At least once a week,No,
2025-06-04 03:34:26,2025-06-04 03:55:42,IP Address,145.109.54.91,100,1276,True,2025-06-04 03:55:43,R_2DdLdqbNLo2x9JL,,,,,52.3179,4.9521,anonymous,EN,30,Rarely apply,Partially apply,Rarely apply,Partially apply,Rather apply,Rarely apply,Fully apply,Not apply at all,Not apply at all,Fully apply,Rather apply,Partially apply,Rarely apply,Partially apply,Partially apply,Rather apply,Rather apply,Partially apply,Fully apply,Rather apply,Fully apply,Fully apply,Fully apply,19,Male,,High School,,Strongly agree,Very Good,Rarely,Less than once a month,No,
2025-06-04 05:26:23,2025-06-04 06:01:20,IP Address,77.249.113.209,100,2097,True,2025-06-04 06:01:21,R_8GetbJwMY0kYThn,,,,,52.3528,4.8584,anonymous,EN,31,Rather apply,Rarely apply,Rather apply,Partially apply,Rather apply,Rarely apply,Rarely apply,Not apply at all,Partially apply,Fully apply,Rarely apply,Not apply at all,Rarely apply,Rarely apply,Rather apply,Partially apply,Rather apply,Rather apply,Fully apply,Rather apply,Rather apply,Rather apply,Partially apply,24,Male,,Master,,Somewhat disagree,Good,Always,At least once every month,No,
2025-06-04 14:39:23,2025-06-04 15:08:08,IP Address,62.194.3.155,100,1724,True,2025-06-04 15:08:09,R_8Ta5Oo8dxNjEYJH,,,,,52.2283,5.1971,anonymous,EN,32,Not apply at all,Partially apply,Rarely apply,Rarely apply,Rather apply,Rarely apply,Rarely apply,Not apply at all,Rather apply,Rather apply,Partially apply,Partially apply,Partially apply,Partially apply,Rarely apply,Partially apply,Rather apply,Rather apply,Rather apply,Rather apply,Partially apply,Partially apply,Rarely apply,55,Male,,HBO,,Strongly disagree,Good,Always,Less than once a month,No,
2025-06-05 04:06:07,2025-06-05 04:33:15,IP Address,145.109.36.67,100,1627,True,2025-06-05 04:33:15,R_2Y55FZT477BXXbw,,,,,52.4414,4.8156,anonymous,EN,33,Partially apply,Not apply at all,Partially apply,Rarely apply,Fully apply,Rarely apply,Rather apply,Rarely apply,Rather apply,Rather apply,Fully apply,Rather apply,Fully apply,Partially apply,Partially apply,Fully apply,Rather apply,Rather apply,Fully apply,Rather apply,Rather apply,Fully apply,Rather apply,21,Male,,Bachelor,,Somewhat agree,Average,Sometimes,At least once a week,Yes,"beat saber, just dance"
2025-06-05 04:48:56,2025-06-05 05:12:20,IP Address,145.109.36.67,100,1403,True,2025-06-05 05:12:20,R_8xx85KKN1A0RStJ,,,,,52.3759,4.8975,anonymous,EN,34,Rather apply,Rarely apply,Rather apply,Partially apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Partially apply,Rarely apply,Rarely apply,Partially apply,Rather apply,Rather apply,Rather apply,Rarely apply,Rather apply,Partially apply,Partially apply,22,Male,,High School,,Strongly disagree,Average,Often,Less than once a month,No,
2025-06-05 05:28:22,2025-06-05 05:52:31,IP Address,145.109.36.67,100,1449,True,2025-06-05 05:52:32,R_2wNTFasZSeJMG67,,,,,52.3759,4.8975,anonymous,EN,35,Not apply at all,Rarely apply,Rather apply,Fully apply,Rather apply,Rather apply,Fully apply,Rather apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rarely apply,Rarely apply,Partially apply,Partially apply,Rather apply,Rather apply,Fully apply,Partially apply,Rather apply,Rather apply,Partially apply,24,Male,,Bachelor,,Somewhat agree,Average,Always,Daily,No,
2025-06-05 06:05:08,2025-06-05 06:27:27,IP Address,145.109.36.67,100,1338,True,2025-06-05 06:27:27,R_2VbgXmev0hCjViF,,,,,52.3759,4.8975,anonymous,EN,36,Not apply at all,Rarely apply,Rarely apply,Partially apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Rather apply,Rarely apply,Not apply at all,Partially apply,Rarely apply,Rarely apply,Rather apply,Rarely apply,Partially apply,Fully apply,Fully apply,Rather apply,Partially apply,Fully apply,Rather apply,21,Male,,High School,,Strongly disagree,Poor,Always,At least once a week,No,
2025-06-05 07:26:38,2025-06-05 07:55:18,IP Address,145.109.36.67,100,1719,True,2025-06-05 07:55:19,R_2elhYLScJyyCJpq,,,,,52.3759,4.8975,anonymous,EN,37,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Rarely apply,Fully apply,Fully apply,Not apply at all,Not apply at all,Fully apply,Not apply at all,Not apply at all,Not apply at all,Fully apply,Fully apply,Fully apply,Partially apply,Not apply at all,Fully apply,Fully apply,27,Female,,Master,,Somewhat agree,Good,Always,Daily,Yes,"dance revolution, billy bust up demo,  kingdom hearts, melody of memory, Rayman heeft aantal ritme levels"
2025-06-05 10:31:47,2025-06-05 10:50:45,IP Address,77.249.113.209,100,1138,True,2025-06-05 10:50:46,R_2jYufJOu9Qos7Y2,,,,,52.3528,4.8584,anonymous,EN,38,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Partially apply,Not apply at all,Not apply at all,Not apply at all,Fully apply,Rather apply,Rarely apply,Rather apply,Rather apply,Not apply at all,Rather apply,Rather apply,Rather apply,Rather apply,Rather apply,Rather apply,Rather apply,Rather apply,Rarely apply,22,Female,,Master,,Somewhat agree,Average,Often,Never,Yes,geometrics
2025-06-05 10:53:42,2025-06-05 11:13:40,IP Address,77.249.113.209,100,1197,True,2025-06-05 11:13:40,R_8GPogxwCdstlqAD,,,,,52.3528,4.8584,anonymous,EN,39,Rather apply,Fully apply,Rather apply,Fully apply,Partially apply,Rather apply,Rather apply,Partially apply,Not apply at all,Rarely apply,Fully apply,Fully apply,Fully apply,Not apply at all,Rather apply,Not apply at all,Rarely apply,Rarely apply,Partially apply,Partially apply,Partially apply,Fully apply,Not apply at all,21,Female,,Bachelor,,Strongly disagree,Very poor,Rarely,Never,Yes,je hebt de website boredbutton.com (of .nl). Daarop krijg je random spelletjes om te doen als je je verveelt. Hierop komt soms ook een spelletje waarop je po de beat moet klikken en dan gaat de muziek langzaam weg en dan moet je door blijven klikken.
2025-06-05 12:34:28,2025-06-05 12:59:39,IP Address,77.249.113.209,100,1511,True,2025-06-05 12:59:39,R_2aeEacytf8Ktf0L,,,,,52.3528,4.8584,anonymous,EN,40,Rarely apply,Partially apply,Rather apply,Partially apply,Not apply at all,Rarely apply,Not apply at all,Rarely apply,Rarely apply,Partially apply,Rarely apply,Partially apply,Partially apply,Partially apply,Rarely apply,Partially apply,Rarely apply,Partially apply,Rarely apply,Rather apply,Partially apply,Partially apply,Partially apply,21,Female,,Bachelor,,Neither agree nor disagree,Average,Rarely,At least once every month,Yes,Just Dance
2025-06-06 12:04:22,2025-06-06 12:30:26,IP Address,77.249.113.209,100,1564,True,2025-06-06 12:30:27,R_2HcJMPTaSKRPJFC,,,,,52.3528,4.8584,anonymous,EN,41,Rarely apply,Fully apply,Rather apply,Rather apply,Partially apply,Rarely apply,Rather apply,Not apply at all,Partially apply,Rather apply,Rarely apply,Rarely apply,Rather apply,Rarely apply,Partially apply,Partially apply,Rarely apply,Rather apply,Rather apply,Rarely apply,Fully apply,Rather apply,Not apply at all,18,Female,,High School,,Strongly disagree,Average,Rarely,Never,No,
2025-06-07 09:59:45,2025-06-07 10:25:47,IP Address,89.205.172.120,100,1562,True,2025-06-07 10:25:48,R_2qkouyIGd1qdk0I,,,,,51.9235,4.4813,anonymous,EN,42,Not apply at all,Rather apply,Rather apply,Rather apply,Rather apply,Not apply at all,Not apply at all,Not apply at all,Rather apply,Rarely apply,Rather apply,Partially apply,Rarely apply,Rarely apply,Rather apply,Fully apply,Rather apply,Rather apply,Rather apply,Partially apply,Fully apply,Rather apply,Partially apply,22,Female,,High School,,Somewhat agree,Good,Often,Never,No,
2025-06-08 12:42:38,2025-06-08 13:07:06,IP Address,77.249.113.209,100,1467,True,2025-06-08 13:07:06,R_2oYmRFZWPXOGQQI,,,,,52.3528,4.8584,anonymous,EN,43,Not apply at all,Rarely apply,Rather apply,Rather apply,Rather apply,Not apply at all,Rarely apply,Not apply at all,Fully apply,Fully apply,Rather apply,Rather apply,Partially apply,Not apply at all,Not apply at all,Not apply at all,Fully apply,Fully apply,Rather apply,Rather apply,Fully apply,Rather apply,Fully apply,22,Male,,Bachelor,,Somewhat agree,Good,Often,At least once a week,No,
2025-06-03 01:07:49,2025-06-03 01:19:11,IP Address,145.109.7.164,3,682,False,2025-06-10 01:19:12,R_2yOXqTAqCaGgB2x,,,,,52.352,4.9392,anonymous,EN,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 01:27:08,2025-06-12 02:09:43,IP Address,77.174.178.117,100,2554,True,2025-06-12 02:09:44,R_2qa0Kpp2CdquiOy,,,,,52.3564,4.8802,anonymous,EN,44,Partially apply,Partially apply,Rarely apply,Rarely apply,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Rarely apply,Partially apply,Not apply at all,Rarely apply,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Not apply at all,Partially apply,Rather apply,Partially apply,Rarely apply,Rather apply,Not apply at all,59,Female,,Master,,Neither agree nor disagree,Poor,Always,At least once every month,No,
